intent,user_query,ideal_response,notes,document
coverage_and_benefits_overview,What does my insurance cover for a specialist visit?,"Coverage details are plan-specific and vary by benefit category. Referencing SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service you’re asking about (primary care, specialist, ER, mental health, etc.) and whether it’s in-network, and I’ll summarize what’s covered at a high level.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
coverage_and_benefits_overview,Is preventive care free under my plan?,"Coverage details are plan-specific and vary by benefit category. Referencing SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service you’re asking about (primary care, specialist, ER, mental health, etc.) and whether it’s in-network, and I’ll summarize what’s covered at a high level.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
coverage_and_benefits_overview,Are mental health services covered?,"Coverage details are plan-specific and vary by benefit category. Referencing SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service you’re asking about (primary care, specialist, ER, mental health, etc.) and whether it’s in-network, and I’ll summarize what’s covered at a high level.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
coverage_and_benefits_overview,Does my plan include dental or vision benefits?,"Coverage details are plan-specific and vary by benefit category. Referencing SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service you’re asking about (primary care, specialist, ER, mental health, etc.) and whether it’s in-network, and I’ll summarize what’s covered at a high level.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
coverage_and_benefits_overview,Is urgent care covered differently than ER visits?,"Coverage details are plan-specific and vary by benefit category. Referencing SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service you’re asking about (primary care, specialist, ER, mental health, etc.) and whether it’s in-network, and I’ll summarize what’s covered at a high level.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
coverage_and_benefits_overview,Are lab tests and imaging covered?,"Coverage details are plan-specific and vary by benefit category. Referencing SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service you’re asking about (primary care, specialist, ER, mental health, etc.) and whether it’s in-network, and I’ll summarize what’s covered at a high level.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
cost_sharing_copays_deductibles_oop_max,What is my deductible for the year?,"Copays, deductibles, and out-of-pocket maximums vary by plan and service type. Per SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, share your plan name (or the options you’re considering) and the service (office visit, imaging, ER, etc.) so I can explain the applicable cost-sharing conceptually and where to verify exact amounts.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
cost_sharing_copays_deductibles_oop_max,How much is the copay for primary care visits?,"Copays, deductibles, and out-of-pocket maximums vary by plan and service type. Per SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, share your plan name (or the options you’re considering) and the service (office visit, imaging, ER, etc.) so I can explain the applicable cost-sharing conceptually and where to verify exact amounts.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
cost_sharing_copays_deductibles_oop_max,Do I have coinsurance for hospital stays?,"Copays, deductibles, and out-of-pocket maximums vary by plan and service type. Per SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, share your plan name (or the options you’re considering) and the service (office visit, imaging, ER, etc.) so I can explain the applicable cost-sharing conceptually and where to verify exact amounts.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
cost_sharing_copays_deductibles_oop_max,What is my out-of-pocket maximum?,"Copays, deductibles, and out-of-pocket maximums vary by plan and service type. Per SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, share your plan name (or the options you’re considering) and the service (office visit, imaging, ER, etc.) so I can explain the applicable cost-sharing conceptually and where to verify exact amounts.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
cost_sharing_copays_deductibles_oop_max,How much will I pay for an ER visit?,"Copays, deductibles, and out-of-pocket maximums vary by plan and service type. Per SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, share your plan name (or the options you’re considering) and the service (office visit, imaging, ER, etc.) so I can explain the applicable cost-sharing conceptually and where to verify exact amounts.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
provider_and_network_search,How do I find an in-network doctor?,"Network participation changes by plan and provider. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me your plan/network and the provider name or specialty + ZIP code; I’ll explain the recommended way to confirm in-network status and what to do if a provider is out-of-network.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
provider_and_network_search,Is my current doctor covered under this plan?,"Network participation changes by plan and provider. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me your plan/network and the provider name or specialty + ZIP code; I’ll explain the recommended way to confirm in-network status and what to do if a provider is out-of-network.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
provider_and_network_search,Are my medications covered by my plan’s formulary?,"Network participation changes by plan and provider. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me your plan/network and the provider name or specialty + ZIP code; I’ll explain the recommended way to confirm in-network status and what to do if a provider is out-of-network.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
provider_and_network_search,Which hospitals are in-network?,"Network participation changes by plan and provider. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me your plan/network and the provider name or specialty + ZIP code; I’ll explain the recommended way to confirm in-network status and what to do if a provider is out-of-network.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
claims_eobs_and_billing_issues,How do I check the status of a claim?,"Billing and claims issues typically require the claim date, provider, and the EOB reason/remark codes. Based on SECTION_VI_Surprise_Billing_and_Additional_Provisions, share what you’re seeing on the bill/EOB (denial reason, balance billing, duplicate charge, etc.) and I’ll outline the standard troubleshooting and escalation steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VI_Surprise_Billing_and_Additional_Provisions
claims_eobs_and_billing_issues,Why was my claim denied?,"Billing and claims issues typically require the claim date, provider, and the EOB reason/remark codes. Based on SECTION_VI_Surprise_Billing_and_Additional_Provisions, share what you’re seeing on the bill/EOB (denial reason, balance billing, duplicate charge, etc.) and I’ll outline the standard troubleshooting and escalation steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VI_Surprise_Billing_and_Additional_Provisions
claims_eobs_and_billing_issues,What is an Explanation of Benefits (EOB)?,"Billing and claims issues typically require the claim date, provider, and the EOB reason/remark codes. Based on SECTION_VI_Surprise_Billing_and_Additional_Provisions, share what you’re seeing on the bill/EOB (denial reason, balance billing, duplicate charge, etc.) and I’ll outline the standard troubleshooting and escalation steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VI_Surprise_Billing_and_Additional_Provisions
claims_eobs_and_billing_issues,How do I dispute a claim payment?,"Billing and claims issues typically require the claim date, provider, and the EOB reason/remark codes. Based on SECTION_VI_Surprise_Billing_and_Additional_Provisions, share what you’re seeing on the bill/EOB (denial reason, balance billing, duplicate charge, etc.) and I’ll outline the standard troubleshooting and escalation steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VI_Surprise_Billing_and_Additional_Provisions
claims_eobs_and_billing_issues,Why did I get a bill if I have insurance?,"Billing and claims issues typically require the claim date, provider, and the EOB reason/remark codes. Based on SECTION_VI_Surprise_Billing_and_Additional_Provisions, share what you’re seeing on the bill/EOB (denial reason, balance billing, duplicate charge, etc.) and I’ll outline the standard troubleshooting and escalation steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VI_Surprise_Billing_and_Additional_Provisions
life_events_and_dependent_changes,How do I add a newborn to my plan?,"Adding/removing dependents and mid-year changes depend on qualifying life events and deadlines. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, tell me what changed (marriage, birth, loss of coverage, etc.) and the effective date, and I’ll outline eligibility impact, required proof, and timelines.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
life_events_and_dependent_changes,My child turned 26—what happens to their coverage?,"Adding/removing dependents and mid-year changes depend on qualifying life events and deadlines. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, tell me what changed (marriage, birth, loss of coverage, etc.) and the effective date, and I’ll outline eligibility impact, required proof, and timelines.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
life_events_and_dependent_changes,How do I remove a dependent after divorce?,"Adding/removing dependents and mid-year changes depend on qualifying life events and deadlines. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, tell me what changed (marriage, birth, loss of coverage, etc.) and the effective date, and I’ll outline eligibility impact, required proof, and timelines.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
life_events_and_dependent_changes,Can I update coverage after moving to a new state?,"Adding/removing dependents and mid-year changes depend on qualifying life events and deadlines. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, tell me what changed (marriage, birth, loss of coverage, etc.) and the effective date, and I’ll outline eligibility impact, required proof, and timelines.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
prior_authorization_and_pre_approvals,Do I need prior authorization for surgery?,"Some services require prior authorization to be covered. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service/procedure and whether it’s elective/urgent, and I’ll explain when pre-approval applies and what information your provider typically submits.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
prior_authorization_and_pre_approvals,How do I request pre-approval for an MRI?,"Some services require prior authorization to be covered. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service/procedure and whether it’s elective/urgent, and I’ll explain when pre-approval applies and what information your provider typically submits.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
prior_authorization_and_pre_approvals,Why was my prior auth request denied?,"Some services require prior authorization to be covered. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service/procedure and whether it’s elective/urgent, and I’ll explain when pre-approval applies and what information your provider typically submits.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
prior_authorization_and_pre_approvals,What services require authorization?,"Some services require prior authorization to be covered. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, tell me the service/procedure and whether it’s elective/urgent, and I’ll explain when pre-approval applies and what information your provider typically submits.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
pharmacy_and_prescription_coverage,Are my current medications covered?,"Prescription coverage depends on the formulary, tiering, and whether the drug is generic/brand/specialty. Referencing SECTION_VIII_PICA_Prescription_and_senior_benefits, share the medication name, dosage, and whether you’re using mail order or retail, and I’ll explain how coverage and cost-sharing are usually determined.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VIII_PICA_Prescription_and_senior_benefits
pharmacy_and_prescription_coverage,What is the copay for generic vs. brand names?,"Prescription coverage depends on the formulary, tiering, and whether the drug is generic/brand/specialty. Referencing SECTION_VIII_PICA_Prescription_and_senior_benefits, share the medication name, dosage, and whether you’re using mail order or retail, and I’ll explain how coverage and cost-sharing are usually determined.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VIII_PICA_Prescription_and_senior_benefits
pharmacy_and_prescription_coverage,How do I request a prescription refill?,"Prescription coverage depends on the formulary, tiering, and whether the drug is generic/brand/specialty. Referencing SECTION_VIII_PICA_Prescription_and_senior_benefits, share the medication name, dosage, and whether you’re using mail order or retail, and I’ll explain how coverage and cost-sharing are usually determined.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VIII_PICA_Prescription_and_senior_benefits
pharmacy_and_prescription_coverage,Does my plan cover specialty medications?,"Prescription coverage depends on the formulary, tiering, and whether the drug is generic/brand/specialty. Referencing SECTION_VIII_PICA_Prescription_and_senior_benefits, share the medication name, dosage, and whether you’re using mail order or retail, and I’ll explain how coverage and cost-sharing are usually determined.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VIII_PICA_Prescription_and_senior_benefits
pharmacy_and_prescription_coverage,Is mail-order pharmacy available?,"Prescription coverage depends on the formulary, tiering, and whether the drug is generic/brand/specialty. Referencing SECTION_VIII_PICA_Prescription_and_senior_benefits, share the medication name, dosage, and whether you’re using mail order or retail, and I’ll explain how coverage and cost-sharing are usually determined.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VIII_PICA_Prescription_and_senior_benefits
retiree_coverage_and_medicare_coordination,What health coverage do I have after I retire from City service?,"Retiree benefits and Medicare coordination depend on Medicare eligibility and plan design. Per SECTION_II_RETIREE_HEALTH_BENEFITS, confirm whether you’re Medicare-eligible (Part A/B) and your current coverage, and I’ll summarize coordination basics and common action items.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_II_RETIREE_HEALTH_BENEFITS
retiree_coverage_and_medicare_coordination,How does my retiree plan work with Medicare when I turn 65?,"Retiree benefits and Medicare coordination depend on Medicare eligibility and plan design. Per SECTION_II_RETIREE_HEALTH_BENEFITS, confirm whether you’re Medicare-eligible (Part A/B) and your current coverage, and I’ll summarize coordination basics and common action items.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_II_RETIREE_HEALTH_BENEFITS
retiree_coverage_and_medicare_coordination,Do my dependents stay covered when I retire?,"Retiree benefits and Medicare coordination depend on Medicare eligibility and plan design. Per SECTION_II_RETIREE_HEALTH_BENEFITS, confirm whether you’re Medicare-eligible (Part A/B) and your current coverage, and I’ll summarize coordination basics and common action items.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_II_RETIREE_HEALTH_BENEFITS
retiree_coverage_and_medicare_coordination,Do I need to enroll in Medicare Part B to keep my retiree health benefits?,"Retiree benefits and Medicare coordination depend on Medicare eligibility and plan design. Per SECTION_II_RETIREE_HEALTH_BENEFITS, confirm whether you’re Medicare-eligible (Part A/B) and your current coverage, and I’ll summarize coordination basics and common action items.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_II_RETIREE_HEALTH_BENEFITS
cobra_continuation_and_qualifying_events,What is COBRA continuation coverage and when does it apply?,"COBRA continuation has specific qualifying events, election timelines, and premium responsibilities. Using SECTION_III_COBRA_Continuity_and_Qualifying_Events, tell me the qualifying event and date, and I’ll outline the election window, how coverage continues, and the key forms/process steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_III_COBRA_Continuity_and_Qualifying_Events
cobra_continuation_and_qualifying_events,Which life events make me eligible for COBRA continuation coverage?,"COBRA continuation has specific qualifying events, election timelines, and premium responsibilities. Using SECTION_III_COBRA_Continuity_and_Qualifying_Events, tell me the qualifying event and date, and I’ll outline the election window, how coverage continues, and the key forms/process steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_III_COBRA_Continuity_and_Qualifying_Events
